Rep,Plot,Clone,First Rust Rating,Canker
2,500,05X-287-141,0,0
2,501,Charlie,0,0
2,502,01-200-001,0,0
2,503,01X-265-019,0,0
2,504,Dimitrios,0,0
2,505,10X-405-009,Dead ,0
2,506,10X-218-013,0,0
2,507,07X-357-114,0,0
2,508,10X-405-011,0,0
2,509,10X-218-014,0,0
2,510,01X-268-015 ,0,0
2,511,10X-400-081,6,1
2,512,05X-287-089,0,0
2,513,10X-400-039,20,0
2,514,10X-400-104,9,1
2,515,07X-357-085,0,0
2,516,10X-400-005,15,1
2,517,10X-400-085,12,1
2,518,04-BN-041,Dead ,0
2,519,10X-400-019,7,1
2,520,02X-326-010,0,0
2,521,10X-239-024,8,0
2,522,10X-400-040,11,0
2,523,10X-239-029,0,0
2,524,10X-400-021,25,0
2,525,10X-400-015,32,1
2,526,10X-400-090,9,1
2,527,10X-405-005,7,0
2,528,05X-281-068,0,0
2,529,10X-400-028,9,1
2,530,10X-239-010,2,0
2,531,10X-405-032,14,0
2,532,01-200-006,0,0
2,533,05X-281-043,0,0
2,534,10X-239-008,3,0
2,535,10X-400-010,9,1
2,536,P63,5,0
2,537,10X-405-026,6,0
2,538,06X-330-055 ,0,0
2,539,9882-34,3,0
2,540,07X-357-106,0,0
2,541,05X-287-096,7,0
2,542,10X-400-076,14,1
2,543,07X-357-087,0,0
2,544,10X-239-025,3,0
2,545,05X-287-145,0,0
2,546,06X-330-026 ,0,0
2,547,05X-287-159,0,0
2,548,07X-357-098,0,0
2,549,99239-015 ,0,0
2,550,10X-400-093,5,0
2,551,10X-218-015,0,0
2,552,05X-291-049,0,0
2,553,Stina,Dead ,0
2,554,10X-400-086,0,1
2,555,10X-218-003,0,0
2,556,10X-405-010,0,0
2,557,05X-287-170,0,0
2,558,10X-239-003,4,0
2,559,10X-218-019,0,0
2,560,10X-239-006,0,0
2,561,05X-287-033,0,0
2,562,10X-400-030,2,1
2,563,07X-356-011,0,0
2,564,10X-400-072,14,0
2,565,10X-239-012,0,0
2,566,10X-400-020,20,0
2,567,01X-266-016 ,0,0
2,568,10X-400-060,5,1
3,569,10X-400-098,0,0
3,570,10X-400-082,2,0
3,571,05X-287-147,0,0
3,572,LA980451,0,0
3,573,02X-326-015,0,0
3,574,10X-239-003,0,0
3,575,10X-400-017,17,0
3,576,10X-400-100,28,1
3,577,SX67,0,0
3,578,SH3,Dead ,0
3,579,06X-330-056 ,0,0
3,580,05X-287-028,0,0
3,581,10X-239-019,0,0
3,582,06X-330-019 ,0,0
3,583,05X-287-141,0,0
3,584,07X-357-116,0,0
3,585,P63,10,0
3,586,07X-357-100,0,0
3,587,10X-400-026,12,0
3,588,10X-400-036,9,1
3,589,95058,5,0
3,590,LA970253,0,0
